alpha,beta,sigma
75.76753130413854,7.837372895823808,4.8638560409844285
75.66455441380873,7.842361570604785,4.864079516438192
75.66455441380873,7.842361570604785,4.864079516438192
75.68685751125021,7.847437387394681,4.861510682351448
75.68685751125021,7.847437387394681,4.861510682351448
75.85187779027136,7.836829227489446,4.860077347553803
75.76486358701877,7.833164646738859,4.864364607382108
75.60688986735657,7.844870785964571,4.862232375128488
75.60688986735657,7.844870785964571,4.862232375128488
75.85912033165125,7.842144994973015,4.86148289502345
75.95551109133135,7.830029532436128,4.861412910888742
75.95551109133135,7.830029532436128,4.861412910888742
75.95551109133135,7.830029532436128,4.861412910888742
76.0950370754585,7.809673118097174,4.855029452589595
76.0950370754585,7.809673118097174,4.855029452589595
76.0950370754585,7.809673118097174,4.855029452589595
76.04855656144908,7.810228958179041,4.8572253432335035
76.04855656144908,7.810228958179041,4.8572253432335035
76.04855656144908,7.810228958179041,4.8572253432335035
76.10143405507239,7.809413963911431,4.850255359314274
76.10143405507239,7.809413963911431,4.850255359314274
76.10143405507239,7.809413963911431,4.850255359314274
76.07186127231122,7.808745914823856,4.848613077591449
75.90465100302711,7.831309755016294,4.844400513446078
75.90328685360178,7.8245687306649145,4.850051366848311
76.00396790542257,7.802186082196664,4.852711946107643
75.97292444718545,7.818342179735547,4.858435440167328
75.97292444718545,7.818342179735547,4.858435440167328
75.97292444718545,7.818342179735547,4.858435440167328
76.00289481628369,7.815249459981924,4.856976753163636
76.12736601923021,7.805366000531237,4.856814937875066
76.28867176223996,7.7938895091199925,4.85351708179824
76.28139420422741,7.788854001741573,4.8557435709006835
76.28139420422741,7.788854001741573,4.8557435709006835
76.35486619672693,7.796163370994601,4.853629121734417
76.28848746558877,7.796492686975959,4.85173680166554
76.28848746558877,7.796492686975959,4.85173680166554
76.2784099553036,7.795199703527673,4.85414831442149
76.2784099553036,7.795199703527673,4.85414831442149
76.2784099553036,7.795199703527673,4.85414831442149
76.2784099553036,7.795199703527673,4.85414831442149
76.38649720859644,7.784784676937851,4.856043074891791
76.38649720859644,7.784784676937851,4.856043074891791
76.38649720859644,7.784784676937851,4.856043074891791
76.31314697379003,7.787032209542353,4.855727807318696
76.31314697379003,7.787032209542353,4.855727807318696
76.31314697379003,7.787032209542353,4.855727807318696
76.31314697379003,7.787032209542353,4.855727807318696
76.30960634236553,7.786011563865344,4.849329509023184
76.30960634236553,7.786011563865344,4.849329509023184
76.30960634236553,7.786011563865344,4.849329509023184
76.30960634236553,7.786011563865344,4.849329509023184
76.30960634236553,7.786011563865344,4.849329509023184
76.43026873882029,7.793743779033413,4.849402096459719
76.56287722437546,7.777694007664724,4.853538601077336
76.56287722437546,7.777694007664724,4.853538601077336
76.56287722437546,7.777694007664724,4.853538601077336
76.56287722437546,7.777694007664724,4.853538601077336
76.59299602582396,7.775030486744579,4.856543163463219
76.51600139977958,7.773830775466413,4.847215263083994
76.6041667500036,7.76584568593512,4.85307756639311
76.6041667500036,7.76584568593512,4.85307756639311
76.6041667500036,7.76584568593512,4.85307756639311
76.45764309372615,7.776204153114162,4.852078262137486
76.39145449069765,7.7777037565697915,4.857826617288503
76.4276301271758,7.784395724803761,4.860127498922783
76.4276301271758,7.784395724803761,4.860127498922783
76.4276301271758,7.784395724803761,4.860127498922783
76.4276301271758,7.784395724803761,4.860127498922783
76.52898648494184,7.777620015897993,4.854392459039343
76.46866241764971,7.765383089884581,4.851618579778492
76.46866241764971,7.765383089884581,4.851618579778492
76.46866241764971,7.765383089884581,4.851618579778492
76.5949727624897,7.764770813423437,4.85094161997658
76.5949727624897,7.764770813423437,4.85094161997658
76.5949727624897,7.764770813423437,4.85094161997658
75.76979773433837,7.8333950283933165,4.846010546101528
75.76979773433837,7.8333950283933165,4.846010546101528
75.99093943300296,7.821820873940214,4.847196238225378
76.01590569493003,7.810869355215469,4.8455824355924655
76.01590569493003,7.810869355215469,4.8455824355924655
76.01590569493003,7.810869355215469,4.8455824355924655
76.14097398679408,7.8102302235367524,4.848126810624784
76.14994212073523,7.803011535099627,4.844671546550656
76.14994212073523,7.803011535099627,4.844671546550656
76.34072377181634,7.789279663341601,4.845764738747923
76.34072377181634,7.789279663341601,4.845764738747923
76.34072377181634,7.789279663341601,4.845764738747923
76.46713730549291,7.771345863415821,4.848397260554014
76.46713730549291,7.771345863415821,4.848397260554014
76.46713730549291,7.771345863415821,4.848397260554014
76.46713730549291,7.771345863415821,4.848397260554014
76.46713730549291,7.771345863415821,4.848397260554014
76.40404583100438,7.776352876002983,4.848009930249941
76.27896180199359,7.78800862182503,4.849480386085108
76.27896180199359,7.78800862182503,4.849480386085108
76.21721139752569,7.806426408595821,4.850961333330461
76.40278462455622,7.7917581296171665,4.8511891980635715
76.45431307732206,7.7886944583691164,4.8494115693025135
76.45431307732206,7.7886944583691164,4.8494115693025135
76.32588653514948,7.786065560386762,4.859191606364025
76.17613550656498,7.7986947592042855,4.861988153879052
76.11830168467658,7.813626477083578,4.863131407393491
76.024836610945,7.827778449412753,4.864139085279852
76.024836610945,7.827778449412753,4.864139085279852
76.02416703800613,7.824201618136965,4.869229753233107
76.10910730763973,7.802824613281189,4.865729825085179
